"item_short","CNT","full_credit","no_credit"
"M033Q01","QES",3047,688
"M033Q01","QUC",162,30
"M033Q01","QUE",165,48
"M033Q01","RUS",572,141
"M033Q01","SGP",586,122
"M033Q01","SVK",557,158
"M033Q01","SVN",590,137
"M033Q01","SWE",512,88
"M033Q01","TAP",703,186
"M033Q01","THA",595,318
"M033Q01","TUN",228,351
"M033Q01","TUR",397,276
"M033Q01","URY",459,211
"M033Q01","USA",507,132
"M034Q01","ARE",309,1264
"M034Q01","AUS",594,1021
"M034Q01","AUT",306,455
"M034Q01","BEL",454,564
"M034Q01","BGR",154,475
"M034Q01","BRA",156,1622
"M034Q01","CAN",886,1316
"M034Q01","CHE",393,497
"M034Q01","CHL",211,514
"M034Q01","COL",186,1073
"M034Q01","CRI",91,542
"M034Q01","CZE",325,412
"M034Q01","DEU",316,384
"M034Q01","DNK",313,420
"M034Q01","DOM",33,576
"M034Q01","ESP",236,466
"M034Q01","EST",316,323
"M034Q01","FIN",334,322
"M034Q01","FRA",269,397
"M034Q01","GBR",558,1024
"M034Q01","GRC",139,455
"M034Q01","HKG",310,319
"M034Q01","HRV",195,444
"M034Q01","HUN",227,378
"M034Q01","IRL",332,562
"M034Q01","ISL",151,227
"M034Q01","ISR",221,468
"M034Q01","ITA",465,807
"M034Q01","JPN",406,341
"M034Q01","KOR",289,348
"M034Q01","LTU",244,488
"M034Q01","LUX",217,342
"M034Q01","LVA",210,334
"M034Q01","MAC",285,214
"M034Q01","MEX",146,597
"M034Q01","MNE",115,474
"M034Q01","NLD",281,321
"M034Q01","NOR",235,364
"M034Q01","NZL",199,294
"M034Q01","PER",112,516
"M034Q01","POL",270,425
"M034Q01","PRT",240,529
"M034Q01","QAT",274,1543
"M034Q01","QCH",438,705
"M034Q01","QES",1176,2278
"M034Q01","QUC",62,120
"M034Q01","QUE",63,141
"M034Q01","RUS",243,406
"M034Q01","SGP",350,348
"M034Q01","SVK",220,458
"M034Q01","SVN",278,423
"M034Q01","SWE",191,324
"M034Q01","TAP",426,457
"M034Q01","THA",189,680
"M034Q01","TUN",33,446
"M034Q01","TUR",128,527
"M034Q01","URY",125,447
"M034Q01","USA",198,413
"M155Q01","ARE",866,598
"M155Q01","AUS",1147,452
"M155Q01","AUT",521,221
"M155Q01","BEL",774,258
"M155Q01","BGR",417,188
"M155Q01","BRA",965,1107
"M155Q01","CAN",1669,515
"M155Q01","CHE",688,215
"M155Q01","CHL",512,230
"M155Q01","COL",545,708
"M155Q01","CRI",383,270
"M155Q01","CZE",581,155
"M155Q01","DEU",539,158
"M155Q01","DNK",543,189
"M155Q01","DOM",170,400
"M155Q01","ESP",510,209
"M155Q01","EST",541,104
"M155Q01","FIN",507,161
"M155Q01","FRA",476,187
"M155Q01","GBR",1151,413
"M155Q01","GRC",400,187
"M155Q01","HKG",485,132
"M155Q01","HRV",444,197
"M155Q01","HUN",445,177
"M155Q01","IRL",705,199
"M155Q01","ISL",295,74
"M155Q01","ISR",412,269
"M155Q01","ITA",996,285
"M155Q01","JPN",554,208
"M155Q01","KOR",504,136
"M155Q01","LTU",446,260
"M155Q01","LUX",383,171
"M155Q01","LVA",390,143
"M155Q01","MAC",413,99
"M155Q01","MEX",425,383
"M155Q01","MNE",299,252
"M155Q01","NLD",448,132
"M155Q01","NOR",434,176
"M155Q01","NZL",367,131
"M155Q01","PER",267,412
"M155Q01","POL",471,236
"M155Q01","PRT",534,269
"M155Q01","QAT",805,765
"M155Q01","QCH",778,311
"M155Q01","QES",2531,956
"M155Q01","QUC",147,42
"M155Q01","QUE",146,62
"M155Q01","RUS",473,192
"M155Q01","SGP",587,100
"M155Q01","SVK",464,209
"M155Q01","SVN",503,188
"M155Q01","SWE",414,131
"M155Q01","TAP",679,185
"M155Q01","THA",357,466
"M155Q01","TUN",208,278
"M155Q01","TUR",322,305
"M155Q01","URY",321,261
"M155Q01","USA",420,196
"M155Q04","ARE",590,1021
"M155Q04","AUS",968,709
"M155Q04","AUT",410,363
"M155Q04","BEL",562,505
"M155Q04","BGR",289,378
"M155Q04","BRA",704,1629
"M155Q04","CAN",1370,895
"M155Q04","CHE",535,400
"M155Q04","CHL",377,399
"M155Q04","COL",321,1013
"M155Q04","CRI",238,450
"M155Q04","CZE",430,335
"M155Q04","DEU",393,328
"M155Q04","DNK",435,324
"M155Q04","DOM",131,567
"M155Q04","ESP",406,356
"M155Q04","EST",403,251
"M155Q04","FIN",479,200
"M155Q04","FRA",442,252
"M155Q04","GBR",899,718
"M155Q04","GRC",274,351
"M155Q04","HKG",385,245
"M155Q04","HRV",393,269
"M155Q04","HUN",356,292
"M155Q04","IRL",573,348
"M155Q04","ISL",220,173
"M155Q04","ISR",290,440
"M155Q04","ITA",694,643
"M155Q04","JPN",467,303
"M155Q04","KOR",394,253
"M155Q04","LTU",337,417
"M155Q04","LUX",295,290
"M155Q04","LVA",315,246
"M155Q04","MAC",334,191
"M155Q04","MEX",304,540
"M155Q04","MNE",218,389
"M155Q04","NLD",292,310
"M155Q04","NOR",371,265
"M155Q04","NZL",284,228
"M155Q04","PER",185,565
"M155Q04","POL",368,347
"M155Q04","PRT",363,484
"M155Q04","QAT",574,1277
"M155Q04","QCH",677,483
"M155Q04","QES",2072,1586
"M155Q04","QUC",102,91
"M155Q04","QUE",102,109
"M155Q04","RUS",391,303
"M155Q04","SGP",385,317
"M155Q04","SVK",314,404
"M155Q04","SVN",409,314
"M155Q04","SWE",341,225
"M155Q04","TAP",539,346
"M155Q04","THA",363,559
"M155Q04","TUN",149,419
"M155Q04","TUR",215,458
"M155Q04","URY",235,387
"M155Q04","USA",313,325
"M273Q01","ARE",532,1060
"M273Q01","AUS",695,963
"M273Q01","AUT",385,410
"M273Q01","BEL",502,580
"M273Q01","BGR",231,465
"M273Q01","BRA",514,1934
"M273Q01","CAN",1090,1201
"M273Q01","CHE",504,472
"M273Q01","CHL",250,532
"M273Q01","COL",399,929
"M273Q01","CRI",236,468
"M273Q01","CZE",406,389
"M273Q01","DEU",329,405
"M273Q01","DNK",394,413
"M273Q01","DOM",118,600
"M273Q01","ESP",375,402
"M273Q01","EST",304,343
"M273Q01","FIN",356,314
"M273Q01","FRA",316,373
"M273Q01","GBR",673,950
"M273Q01","GRC",280,359
"M273Q01","HKG",352,271
"M273Q01","HRV",242,444
"M273Q01","HUN",228,431
"M273Q01","IRL",405,558
"M273Q01","ISL",141,235
"M273Q01","ISR",329,450
"M273Q01","ITA",606,731
"M273Q01","JPN",442,328
"M273Q01","KOR",323,321
"M273Q01","LTU",320,441
"M273Q01","LUX",245,356
"M273Q01","LVA",279,290
"M273Q01","MAC",294,226
"M273Q01","MEX",263,609
"M273Q01","MNE",179,452
"M273Q01","NLD",304,304
"M273Q01","NOR",285,311
"M273Q01","NZL",252,289
"M273Q01","PER",225,550
"M273Q01","POL",351,384
"M273Q01","PRT",367,476
"M273Q01","QAT",535,1358
"M273Q01","QCH",627,494
"M273Q01","QES",1737,2017
"M273Q01","QUC",83,111
"M273Q01","QUE",78,118
"M273Q01","RUS",310,376
"M273Q01","SGP",356,347
"M273Q01","SVK",294,440
"M273Q01","SVN",311,425
"M273Q01","SWE",274,363
"M273Q01","TAP",530,370
"M273Q01","THA",406,547
"M273Q01","TUN",205,371
"M273Q01","TUR",225,428
"M273Q01","URY",222,454
"M273Q01","USA",243,439
"M305Q01","ARE",260,576
"M305Q01","AUS",716,898
"M305Q01","AUT",334,457
"M305Q01","BEL",495,586
"M305Q01","BGR",262,429
"M305Q01","BRA",713,1781
"M305Q01","CAN",975,1337
"M305Q01","CHE",411,524
"M305Q01","CHL",266,530
"M305Q01","COL",421,962
"M305Q01","CRI",203,499
"M305Q01","CZE",343,440
"M305Q01","DEU",329,397
"M305Q01","DNK",355,415
"M305Q01","DOM",168,543
"M305Q01","ESP",308,460
"M305Q01","EST",311,345
"M305Q01","FIN",328,356
"M305Q01","FRA",289,432
"M305Q01","GBR",662,976
"M305Q01","GRC",220,426
"M305Q01","HKG",300,318
"M305Q01","HRV",275,392
"M305Q01","HUN",310,343
"M305Q01","IRL",398,556
"M305Q01","ISL",178,220
"M305Q01","ISR",274,492
"M305Q01","ITA",613,731
"M305Q01","JPN",379,397
"M305Q01","KOR",271,368
"M305Q01","LTU",335,400
"M305Q01","LUX",240,361
"M305Q01","LVA",250,311
"M305Q01","MAC",288,217
"M305Q01","MEX",282,569
"M305Q01","MNE",222,432
"M305Q01","NLD",265,335
"M305Q01","NOR",291,351
"M305Q01","NZL",228,298
"M305Q01","PER",237,535
"M305Q01","POL",305,440
"M305Q01","PRT",334,505
"M305Q01","QAT",600,1304
"M305Q01","QCH",556,578
"M305Q01","QES",1589,2125
"M305Q01","QUC",75,113
"M305Q01","QUE",90,124
"M305Q01","RUS",303,381
"M305Q01","SGP",356,344
"M305Q01","SVK",290,424
"M305Q01","SVN",329,407
"M305Q01","SWE",271,359
"M305Q01","TAP",405,480
"M305Q01","THA",407,562
"M305Q01","TUN",181,382
"M305Q01","TUR",207,463
"M305Q01","URY",270,419
"M305Q01","USA",260,396
"M408Q01","ARE",217,1383
"M408Q01","AUS",791,887
"M408Q01","AUT",309,491
"M408Q01","BEL",440,651
"M408Q01","BGR",123,575
"M408Q01","BRA",303,2182
"M408Q01","CAN",941,1359
"M408Q01","CHE",413,565
"M408Q01","CHL",242,549
"M408Q01","COL",169,1154
"M408Q01","CRI",154,549
"M408Q01","CZE",270,544
"M408Q01","DEU",380,356
"M408Q01","DNK",342,472
"M408Q01","DOM",63,667
"M408Q01","ESP",369,410
"M408Q01","EST",172,477
"M408Q01","FIN",315,361
"M408Q01","FRA",344,350
"M408Q01","GBR",754,877
"M408Q01","GRC",251,389
"M408Q01","HKG",348,275
"M408Q01","HRV",158,529
"M408Q01","HUN",193,469
"M408Q01","IRL",480,485
"M408Q01","ISL",167,211
"M408Q01","ISR",278,506
"M408Q01","ITA",619,734
"M408Q01","JPN",318,452
"M408Q01","KOR",248,393
"M408Q01","LTU",151,611
"M408Q01","LUX",192,408
"M408Q01","LVA",104,466
"M408Q01","MAC",306,213
"M408Q01","MEX",141,730
"M408Q01","MNE",145,505
"M408Q01","NLD",201,413
"M408Q01","NOR",196,413
"M408Q01","NZL",274,272
"M408Q01","PER",56,733
"M408Q01","POL",147,585
"M408Q01","PRT",319,525
"M408Q01","QAT",194,1712
"M408Q01","QCH",523,603
"M408Q01","QES",1784,1994
"M408Q01","QUC",87,107
"M408Q01","QUE",58,138
"M408Q01","RUS",107,582
"M408Q01","SGP",310,392
"M408Q01","SVK",144,592
"M408Q01","SVN",217,520
"M408Q01","SWE",280,361
"M408Q01","TAP",375,526
"M408Q01","THA",250,701
"M408Q01","TUN",35,539
"M408Q01","TUR",219,436
"M408Q01","URY",141,544
"M408Q01","USA",204,479
"M411Q01","ARE",406,1180
"M411Q01","AUS",778,803
"M411Q01","AUT",377,344
"M411Q01","BEL",568,454
"M411Q01","BGR",222,410
"M411Q01","BRA",252,1817
"M411Q01","CAN",1139,1077
"M411Q01","CHE",543,364
"M411Q01","CHL",252,469
"M411Q01","COL",213,1078
"M411Q01","CRI",57,586
"M411Q01","CZE",389,323
"M411Q01","DEU",383,309
"M411Q01","DNK",403,328
"M411Q01","DOM",14,592
"M411Q01","ESP",425,294
"M411Q01","EST",369,271
"M411Q01","FIN",393,256
"M411Q01","FRA",387,286
"M411Q01","GBR",823,723
"M411Q01","GRC",196,388
"M411Q01","HKG",394,233
"M411Q01","HRV",280,344
"M411Q01","HUN",322,290
"M411Q01","IRL",489,404
"M411Q01","ISL",193,190
"M411Q01","ISR",352,369
"M411Q01","ITA",818,472
"M411Q01","JPN",455,292
"M411Q01","KOR",360,273
"M411Q01","LTU",343,385
"M411Q01","LUX",273,291
"M411Q01","LVA",266,275
"M411Q01","MAC",310,209
"M411Q01","MEX",191,620
"M411Q01","MNE",148,397
"M411Q01","NLD",334,263
"M411Q01","NOR",327,274
"M411Q01","NZL",253,238
"M411Q01","PER",72,609
"M411Q01","POL",330,355
"M411Q01","PRT",390,385
"M411Q01","QAT",396,1405
"M411Q01","QCH",649,503
"M411Q01","QES",2022,1430
"M411Q01","QUC",107,83
"M411Q01","QUE",97,115
"M411Q01","RUS",286,395
"M411Q01","SGP",501,198
"M411Q01","SVK",341,337
"M411Q01","SVN",341,366
"M411Q01","SWE",258,260
"M411Q01","TAP",434,438
"M411Q01","THA",176,726
"M411Q01","TUN",39,460
"M411Q01","TUR",148,479
"M411Q01","URY",140,389
"M411Q01","USA",280,351
"M411Q02","ARE",564,1045
"M411Q02","AUS",757,900
"M411Q02","AUT",384,371
"M411Q02","BEL",498,553
"M411Q02","BGR",234,425
"M411Q02","BRA",637,1563
"M411Q02","CAN",1053,1199
"M411Q02","CHE",462,468
"M411Q02","CHL",287,484
"M411Q02","COL",401,926
"M411Q02","CRI",219,455
"M411Q02","CZE",325,434
"M411Q02","DEU",368,348
"M411Q02","DNK",343,415
"M411Q02","DOM",151,532
"M411Q02","ESP",325,414
"M411Q02","EST",314,336
"M411Q02","FIN",335,338
"M411Q02","FRA",223,466
"M411Q02","GBR",740,863
"M411Q02","GRC",304,313
"M411Q02","HKG",394,237
"M411Q02","HRV",234,427
"M411Q02","HUN",268,373
"M411Q02","IRL",467,448
"M411Q02","ISL",183,208
"M411Q02","ISR",342,403
"M411Q02","ITA",607,714
"M411Q02","JPN",424,343
"M411Q02","KOR",343,302
"M411Q02","LTU",322,432
"M411Q02","LUX",254,325
"M411Q02","LVA",208,352
"M411Q02","MAC",300,220
"M411Q02","MEX",198,622
"M411Q02","MNE",234,384
"M411Q02","NLD",326,280
"M411Q02","NOR",275,350
"M411Q02","NZL",256,248
"M411Q02","PER",187,540
"M411Q02","POL",302,413
"M411Q02","PRT",372,460
"M411Q02","QAT",530,1338
"M411Q02","QCH",631,528
"M411Q02","QES",1664,1934
"M411Q02","QUC",104,88
"M411Q02","QUE",103,108
"M411Q02","RUS",232,458
"M411Q02","SGP",384,321
"M411Q02","SVK",251,457
"M411Q02","SVN",308,415
"M411Q02","SWE",226,319
"M411Q02","TAP",472,413
"M411Q02","THA",237,676
"M411Q02","TUN",136,404
"M411Q02","TUR",175,496
"M411Q02","URY",162,443
"M411Q02","USA",287,345
"M420Q01","ARE",597,1005
"M420Q01","AUS",961,717
"M420Q01","AUT",414,389
"M420Q01","BEL",547,544
"M420Q01","BGR",220,479
"M420Q01","BRA",591,1873
"M420Q01","CAN",1429,874
"M420Q01","CHE",514,466
"M420Q01","CHL",331,461
"M420Q01","COL",344,980
"M420Q01","CRI",174,528
"M420Q01","CZE",425,390
"M420Q01","DEU",372,366
"M420Q01","DNK",504,311
"M420Q01","DOM",89,647
"M420Q01","ESP",336,444
"M420Q01","EST",336,312
"M420Q01","FIN",348,329
"M420Q01","FRA",355,334
"M420Q01","GBR",965,669
"M420Q01","GRC",295,351
"M420Q01","HKG",303,321
"M420Q01","HRV",291,397
"M420Q01","HUN",352,310
"M420Q01","IRL",592,373
"M420Q01","ISL",152,225
"M420Q01","ISR",272,512
"M420Q01","ITA",662,691
"M420Q01","JPN",308,465
"M420Q01","KOR",131,515
"M420Q01","LTU",324,440
"M420Q01","LUX",287,315
"M420Q01","LVA",265,304
"M420Q01","MAC",263,255
"M420Q01","MEX",248,622
"M420Q01","MNE",166,483
"M420Q01","NLD",332,280
"M420Q01","NOR",331,278
"M420Q01","NZL",321,222
"M420Q01","PER",172,616
"M420Q01","POL",392,343
"M420Q01","PRT",407,438
"M420Q01","QAT",537,1373
"M420Q01","QCH",566,559
"M420Q01","QES",1708,2071
"M420Q01","QUC",117,77
"M420Q01","QUE",101,96
"M420Q01","RUS",332,355
"M420Q01","SGP",387,316
"M420Q01","SVK",315,421
"M420Q01","SVN",378,361
"M420Q01","SWE",346,294
"M420Q01","TAP",501,401
"M420Q01","THA",274,678
"M420Q01","TUN",110,465
"M420Q01","TUR",199,457
"M420Q01","URY",199,487
"M420Q01","USA",351,333
"M423Q01","ARE",1000,597
"M423Q01","AUS",1383,234
"M423Q01","AUT",541,253
"M423Q01","BEL",848,230
"M423Q01","BGR",438,252
"M423Q01","BRA",1703,729
"M423Q01","CAN",1857,466
"M423Q01","CHE",753,193
"M423Q01","CHL",612,189
"M423Q01","COL",958,422
"M423Q01","CRI",545,164
"M423Q01","CZE",554,232
"M423Q01","DEU",608,122
"M423Q01","DNK",632,138
"M423Q01","DOM",511,211
"M423Q01","ESP",602,173
"M423Q01","EST",551,105
"M423Q01","FIN",562,123
"M423Q01","FRA",587,132
"M423Q01","GBR",1364,272
"M423Q01","GRC",547,102
"M423Q01","HKG",471,147
"M423Q01","HRV",452,225
"M423Q01","HUN",530,128
"M423Q01","IRL",795,160
"M423Q01","ISL",345,52
"M423Q01","ISR",501,275
"M423Q01","ITA",1076,268
"M423Q01","JPN",608,174
"M423Q01","KOR",532,111
"M423Q01","LTU",516,217
"M423Q01","LUX",419,184
"M423Q01","LVA",416,147
"M423Q01","MAC",426,77
"M423Q01","MEX",690,158
"M423Q01","MNE",370,294
"M423Q01","NLD",484,118
"M423Q01","NOR",559,84
"M423Q01","NZL",452,72
"M423Q01","PER",475,300
"M423Q01","POL",609,140
"M423Q01","PRT",605,234
"M423Q01","QAT",1044,870
"M423Q01","QCH",1079,56
"M423Q01","QES",2901,841
"M423Q01","QUC",149,36
"M423Q01","QUE",165,48
"M423Q01","RUS",491,193
"M423Q01","SGP",576,124
"M423Q01","SVK",561,159
"M423Q01","SVN",590,149
"M423Q01","SWE",472,153
"M423Q01","TAP",774,116
"M423Q01","THA",689,269
"M423Q01","TUN",283,283
"M423Q01","TUR",534,143
"M423Q01","URY",506,187
"M423Q01","USA",470,191
"M442Q02","ARE",268,1223
"M442Q02","AUS",440,1060
"M442Q02","AUT",225,479
"M442Q02","BEL",322,622
"M442Q02","BGR",115,454
"M442Q02","BRA",144,1582
"M442Q02","CAN",638,1445
"M442Q02","CHE",293,558
"M442Q02","CHL",169,491
"M442Q02","COL",145,1071
"M442Q02","CRI",71,532
"M442Q02","CZE",308,404
"M442Q02","DEU",200,444
"M442Q02","DNK",132,527
"M442Q02","DOM",10,548
"M442Q02","ESP",220,451
"M442Q02","EST",212,389
"M442Q02","FIN",204,419
"M442Q02","FRA",215,383
"M442Q02","GBR",392,1083
"M442Q02","GRC",135,437
"M442Q02","HKG",260,359
"M442Q02","HRV",153,402
"M442Q02","HUN",164,398
"M442Q02","IRL",200,653
"M442Q02","ISL",103,258
"M442Q02","ISR",180,481
"M442Q02","ITA",459,744
"M442Q02","JPN",397,334
"M442Q02","KOR",286,327
"M442Q02","LTU",158,532
"M442Q02","LUX",164,371
"M442Q02","LVA",97,415
"M442Q02","MAC",226,283
"M442Q02","MEX",80,653
"M442Q02","MNE",69,400
"M442Q02","NLD",179,395
"M442Q02","NOR",177,399
"M442Q02","NZL",142,307
"M442Q02","PER",77,531
"M442Q02","POL",197,471
"M442Q02","PRT",165,560
"M442Q02","QAT",219,1526
"M442Q02","QCH",320,763
"M442Q02","QES",1115,2166
"M442Q02","QUC",68,114
"M442Q02","QUE",57,145
"M442Q02","RUS",191,428
"M442Q02","SGP",340,339
"M442Q02","SVK",160,492
"M442Q02","SVN",194,469
"M442Q02","SWE",120,327
"M442Q02","TAP",321,533
"M442Q02","THA",188,636
"M442Q02","TUN",26,422
"M442Q02","TUR",78,515
"M442Q02","URY",70,408
"M442Q02","USA",154,443
"M446Q01","ARE",681,882
"M446Q01","AUS",1144,490
"M446Q01","AUT",468,311
"M446Q01","BEL",704,321
"M446Q01","BGR",372,281
"M446Q01","BRA",506,1616
"M446Q01","CAN",1699,555
"M446Q01","CHE",601,328
"M446Q01","CHL",506,237
"M446Q01","COL",519,753
"M446Q01","CRI",298,376
"M446Q01","CZE",600,188
"M446Q01","DEU",461,249
"M446Q01","DNK",569,221
"M446Q01","DOM",112,529
"M446Q01","ESP",511,227
"M446Q01","EST",557,80
"M446Q01","FIN",506,148
"M446Q01","FRA",440,209
"M446Q01","GBR",1159,422
"M446Q01","GRC",414,201
"M446Q01","HKG",475,146
"M446Q01","HRV",257,369
"M446Q01","HUN",466,171
"M446Q01","IRL",705,239
"M446Q01","ISL",264,99
"M446Q01","ISR",508,225
"M446Q01","ITA",870,432
"M446Q01","JPN",600,155
"M446Q01","KOR",507,130
"M446Q01","LTU",489,244
"M446Q01","LUX",327,245
"M446Q01","LVA",378,183
"M446Q01","MAC",373,142
"M446Q01","MEX",364,472
"M446Q01","MNE",269,266
"M446Q01","NLD",417,179
"M446Q01","NOR",442,134
"M446Q01","NZL",400,131
"M446Q01","PER",255,464
"M446Q01","POL",506,203
"M446Q01","PRT",477,328
"M446Q01","QAT",692,1123
"M446Q01","QCH",878,238
"M446Q01","QES",2404,1160
"M446Q01","QUC",155,34
"M446Q01","QUE",143,52
"M446Q01","RUS",500,168
"M446Q01","SGP",515,183
"M446Q01","SVK",494,214
"M446Q01","SVN",458,231
"M446Q01","SWE",419,173
"M446Q01","TAP",655,232
"M446Q01","THA",424,513
"M446Q01","TUN",90,417
"M446Q01","TUR",410,231
"M446Q01","URY",365,259
"M446Q01","USA",468,208
"M447Q01","ARE",643,929
"M447Q01","AUS",1062,609
"M447Q01","AUT",583,215
"M447Q01","BEL",810,280
"M447Q01","BGR",356,323
"M447Q01","BRA",844,1589
"M447Q01","CAN",1499,803
"M447Q01","CHE",714,256
"M447Q01","CHL",418,369
"M447Q01","COL",518,786
"M447Q01","CRI",231,464
"M447Q01","CZE",576,228
"M447Q01","DEU",530,204
"M447Q01","DNK",530,284
"M447Q01","DOM",196,525
"M447Q01","ESP",488,291
"M447Q01","EST",456,188
"M447Q01","FIN",501,167
"M447Q01","FRA",455,228
"M447Q01","GBR",1011,625
"M447Q01","GRC",310,327
"M447Q01","HKG",496,126
"M447Q01","HRV",350,330
"M447Q01","HUN",443,212
"M447Q01","IRL",552,406
"M447Q01","ISL",254,120
"M447Q01","ISR",454,324
"M447Q01","ITA",948,396
"M447Q01","JPN",634,137
"M447Q01","KOR",540,105
"M447Q01","LTU",455,300
"M447Q01","LUX",382,215
"M447Q01","LVA",360,208
"M447Q01","MAC",413,106
"M447Q01","MEX",369,494
"M447Q01","MNE",241,391
"M447Q01","NLD",471,140
"M447Q01","NOR",388,219
"M447Q01","NZL",365,181
"M447Q01","PER",280,468
"M447Q01","POL",458,273
"M447Q01","PRT",500,334
"M447Q01","QAT",681,1186
"M447Q01","QCH",841,275
"M447Q01","QES",2402,1371
"M447Q01","QUC",121,68
"M447Q01","QUE",106,90
"M447Q01","RUS",444,235
"M447Q01","SGP",515,185
"M447Q01","SVK",442,282
"M447Q01","SVN",519,215
"M447Q01","SWE",359,273
"M447Q01","TAP",687,207
"M447Q01","THA",474,395
"M447Q01","TUN",145,406
"M447Q01","TUR",334,306
"M447Q01","URY",332,348
"M447Q01","USA",384,291
"M464Q01","ARE",121,1447
"M464Q01","AUS",351,1237
"M464Q01","AUT",220,553
"M464Q01","BEL",265,751
"M464Q01","BGR",71,541
"M464Q01","BRA",56,1961
"M464Q01","CAN",592,1628
"M464Q01","CHE",362,584
"M464Q01","CHL",81,634
"M464Q01","COL",31,1212
"M464Q01","CRI",28,627
"M464Q01","CZE",221,544
"M464Q01","DEU",232,475
"M464Q01","DNK",150,617
"M464Q01","DOM",0,624
"M464Q01","ESP",121,604
"M464Q01","EST",135,483
"M464Q01","FIN",194,447
"M464Q01","FRA",133,503
"M464Q01","GBR",322,1247
"M464Q01","GRC",87,516
"M464Q01","HKG",284,335
"M464Q01","HRV",95,548
"M464Q01","HUN",140,488
"M464Q01","IRL",186,756
"M464Q01","ISL",64,296
"M464Q01","ISR",133,605
"M464Q01","ITA",421,855
"M464Q01","JPN",287,460
"M464Q01","KOR",261,378
"M464Q01","LTU",191,544
"M464Q01","LUX",141,431
"M464Q01","LVA",102,454
"M464Q01","MAC",204,305
"M464Q01","MEX",46,751
"M464Q01","MNE",63,509
"M464Q01","NLD",133,472
"M464Q01","NOR",112,437
"M464Q01","NZL",113,397
"M464Q01","PER",28,661
"M464Q01","POL",191,518
"M464Q01","PRT",173,612
"M464Q01","QAT",110,1718
"M464Q01","QCH",568,545
"M464Q01","QES",637,2886
"M464Q01","QUC",44,144
"M464Q01","QUE",34,156
"M464Q01","RUS",154,498
"M464Q01","SGP",380,317
"M464Q01","SVK",127,567
"M464Q01","SVN",183,525
"M464Q01","SWE",118,461
"M464Q01","TAP",444,442
"M464Q01","THA",118,790
"M464Q01","TUN",31,483
"M464Q01","TUR",114,531
"M464Q01","URY",63,521
